OBJECTID_1,FID_XYHazardSce95,OBJECTID,Field1,Field2,Field3,FID_censustractclip_CensusData,censustractclip_GEO_ID,censustractclip_STATE,censustractclip_COUNTY,censustractclip_TRACT,censustractclip_NAME,censustractclip_LSAD,censustractclip_CENSUSAREA,CensusData_OBJECTID,CensusData_Id,CensusData_Id2,CensusData_Geography,CensusData_Estimate__Total,CensusData_Margin_of_Error__Total,CensusData_Median_income__dollars_,CensusData_Mean_income__dollars_
867,1490,1491,35.162999999999997,-89.823499999999996,0.092692000000000,162,1400000US47157021124,47,157,021124,211.24,Tract,1.604000000000000,149,1400000US47157021124,47157021124.000000000000000,"Census Tract 211.24, Shelby County, Tennessee",8875,747,58361,64159
868,1536,1537,35.162999999999997,-89.812500000000000,0.088937000000000,163,1400000US47157021125,47,157,021125,211.25,Tract,1.788000000000000,150,1400000US47157021125,47157021125.000000000000000,"Census Tract 211.25, Shelby County, Tennessee",4335,313,69000,73380
869,1582,1583,35.162999999999997,-89.801500000000004,0.100078000000000,164,1400000US47157021126,47,157,021126,211.26,Tract,0.921000000000000,151,1400000US47157021126,47157021126.000000000000000,"Census Tract 211.26, Shelby County, Tennessee",4238,363,73381,78841
870,1628,1629,35.162999999999997,-89.790499999999994,0.155649000000000,11,1400000US47157021135,47,157,021135,211.35,Tract,1.653000000000000,152,1400000US47157021135,47157021135.000000000000000,"Census Tract 211.35, Shelby County, Tennessee",7593,1051,52561,62310
871,1674,1675,35.162999999999997,-89.779499999999999,0.091638000000000,165,1400000US47157021136,47,157,021136,211.36,Tract,1.638000000000000,153,1400000US47157021136,47157021136.000000000000000,"Census Tract 211.36, Shelby County, Tennessee",5301,361,94868,120338
872,1720,1721,35.162999999999997,-89.768400000000000,0.213889000000000,165,1400000US47157021136,47,157,021136,211.36,Tract,1.638000000000000,153,1400000US47157021136,47157021136.000000000000000,"Census Tract 211.36, Shelby County, Tennessee",5301,361,94868,120338
873,1766,1767,35.162999999999997,-89.757400000000004,0.120228000000000,165,1400000US47157021136,47,157,021136,211.36,Tract,1.638000000000000,153,1400000US47157021136,47157021136.000000000000000,"Census Tract 211.36, Shelby County, Tennessee",5301,361,94868,120338
874,1812,1813,35.162999999999997,-89.746399999999994,0.170855000000000,167,1400000US47157021138,47,157,021138,211.38,Tract,3.636000000000000,155,1400000US47157021138,47157021138.000000000000000,"Census Tract 211.38, Shelby County, Tennessee",3449,374,79034,99086
875,1858,1859,35.162999999999997,-89.735399999999998,0.138780000000000,156,1400000US47157021010,47,157,021010,210.10,Tract,22.346000000000000,142,1400000US47157021010,47157021010.000000000000000,"Census Tract 210.10, Shelby County, Tennessee",17591,1392,76143,95311
876,1904,1905,35.162999999999997,-89.724400000000003,0.226873000000000,156,1400000US47157021010,47,157,021010,210.10,Tract,22.346000000000000,142,1400000US47157021010,47157021010.000000000000000,"Census Tract 210.10, Shelby County, Tennessee",17591,1392,76143,95311
877,1950,1951,35.162999999999997,-89.713399999999993,0.129803000000000,156,1400000US47157021010,47,157,021010,210.10,Tract,22.346000000000000,142,1400000US47157021010,47157021010.000000000000000,"Census Tract 210.10, Shelby County, Tennessee",17591,1392,76143,95311
878,1996,1997,35.162999999999997,-89.702399999999997,0.185789000000000,156,1400000US47157021010,47,157,021010,210.10,Tract,22.346000000000000,142,1400000US47157021010,47157021010.000000000000000,"Census Tract 210.10, Shelby County, Tennessee",17591,1392,76143,95311
879,2042,2043,35.162999999999997,-89.691299999999998,0.238016000000000,156,1400000US47157021010,47,157,021010,210.10,Tract,22.346000000000000,142,1400000US47157021010,47157021010.000000000000000,"Census Tract 210.10, Shelby County, Tennessee",17591,1392,76143,95311
880,2088,2089,35.162999999999997,-89.680300000000003,0.330295000000000,156,1400000US47157021010,47,157,021010,210.10,Tract,22.346000000000000,142,1400000US47157021010,47157021010.000000000000000,"Census Tract 210.10, Shelby County, Tennessee",17591,1392,76143,95311
881,2134,2135,35.162999999999997,-89.669300000000007,0.413060000000000,156,1400000US47157021010,47,157,021010,210.10,Tract,22.346000000000000,142,1400000US47157021010,47157021010.000000000000000,"Census Tract 210.10, Shelby County, Tennessee",17591,1392,76143,95311
882,2180,2181,35.162999999999997,-89.658299999999997,0.147188000000000,156,1400000US47157021010,47,157,021010,210.10,Tract,22.346000000000000,142,1400000US47157021010,47157021010.000000000000000,"Census Tract 210.10, Shelby County, Tennessee",17591,1392,76143,95311
883,2226,2227,35.162999999999997,-89.647300000000001,0.210935000000000,156,1400000US47157021010,47,157,021010,210.10,Tract,22.346000000000000,142,1400000US47157021010,47157021010.000000000000000,"Census Tract 210.10, Shelby County, Tennessee",17591,1392,76143,95311
884,341,342,35.171999999999997,-90.098900000000000,0.063406000000000,129,1400000US47157020101,47,157,020101,201.01,Tract,53.273000000000003,108,1400000US47157020101,47157020101.000000000000000,"Census Tract 201.01, Shelby County, Tennessee",4131,699,30479,60872
885,387,388,35.171999999999997,-90.087900000000005,0.045248000000000,129,1400000US47157020101,47,157,020101,201.01,Tract,53.273000000000003,108,1400000US47157020101,47157020101.000000000000000,"Census Tract 201.01, Shelby County, Tennessee",4131,699,30479,60872
886,433,434,35.171999999999997,-90.076899999999995,0.043945000000000,129,1400000US47157020101,47,157,020101,201.01,Tract,53.273000000000003,108,1400000US47157020101,47157020101.000000000000000,"Census Tract 201.01, Shelby County, Tennessee",4131,699,30479,60872
887,479,480,35.171999999999997,-90.065899999999999,0.028368000000000,129,1400000US47157020101,47,157,020101,201.01,Tract,53.273000000000003,108,1400000US47157020101,47157020101.000000000000000,"Census Tract 201.01, Shelby County, Tennessee",4131,699,30479,60872
888,525,526,35.171999999999997,-90.054800000000000,0.031625000000000,47,1400000US47157000100,47,157,000100,1,Tract,1.616000000000000,1,1400000US47157000100,47157000100.000000000000000,"Census Tract 1, Shelby County, Tennessee",6502,569,70184,106502
889,571,572,35.171999999999997,-90.043800000000005,0.047351000000000,220,1400000US47157000200,47,157,000200,2,Tract,0.408000000000000,2,1400000US47157000200,47157000200.000000000000000,"Census Tract 2, Shelby County, Tennessee",893,177,14451,23112
890,617,618,35.171999999999997,-90.032799999999995,0.033253000000000,48,1400000US47157000300,47,157,000300,3,Tract,1.109000000000000,3,1400000US47157000300,47157000300.000000000000000,"Census Tract 3, Shelby County, Tennessee",934,149,22024,31391
891,663,664,35.171999999999997,-90.021799999999999,0.046813000000000,49,1400000US47157000400,47,157,000400,4,Tract,0.879000000000000,4,1400000US47157000400,47157000400.000000000000000,"Census Tract 4, Shelby County, Tennessee",1782,291,19360,24972
892,709,710,35.171999999999997,-90.010800000000003,0.046568000000000,94,1400000US47157011200,47,157,011200,112,Tract,0.464000000000000,101,1400000US47157011200,47157011200.000000000000000,"Census Tract 112, Shelby County, Tennessee",1647,241,17622,26550
893,755,756,35.171999999999997,-89.999799999999993,0.025633000000000,26,1400000US47157000700,47,157,000700,7,Tract,0.964000000000000,6,1400000US47157000700,47157000700.000000000000000,"Census Tract 7, Shelby County, Tennessee",4530,748,26009,38673
894,801,802,35.171999999999997,-89.988699999999994,0.041646000000000,26,1400000US47157000700,47,157,000700,7,Tract,0.964000000000000,6,1400000US47157000700,47157000700.000000000000000,"Census Tract 7, Shelby County, Tennessee",4530,748,26009,38673
895,847,848,35.171999999999997,-89.977699999999999,0.059568000000000,51,1400000US47157000800,47,157,000800,8,Tract,0.787000000000000,7,1400000US47157000800,47157000800.000000000000000,"Census Tract 8, Shelby County, Tennessee",2400,302,14861,20658
