GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HC01_EST_VC13,HC01_EST_VC15
Id,Id2,Geography,Estimate; Total,Margin of Error; Total,Median income (dollars),Mean income (dollars)
1400000US47157022112,47157022112,"Census Tract 221.12, Shelby County, Tennessee",6386,691,31593,37351
1400000US47157022121,47157022121,"Census Tract 221.21, Shelby County, Tennessee",4961,501,64115,67950
1400000US47157022122,47157022122,"Census Tract 221.22, Shelby County, Tennessee",4135,418,34911,48576
1400000US47157022130,47157022130,"Census Tract 221.30, Shelby County, Tennessee",5916,702,45552,56675
1400000US47157022210,47157022210,"Census Tract 222.10, Shelby County, Tennessee",4578,454,30500,38788
1400000US47157022220,47157022220,"Census Tract 222.20, Shelby County, Tennessee",3340,362,29329,34844
1400000US47157022310,47157022310,"Census Tract 223.10, Shelby County, Tennessee",5891,689,23059,37369
1400000US47157022321,47157022321,"Census Tract 223.21, Shelby County, Tennessee",3740,626,32995,42962
1400000US47157022322,47157022322,"Census Tract 223.22, Shelby County, Tennessee",3867,438,34674,44066
1400000US47157022330,47157022330,"Census Tract 223.30, Shelby County, Tennessee",5041,440,33262,40707
1400000US47157022410,47157022410,"Census Tract 224.10, Shelby County, Tennessee",6916,769,45781,51809
1400000US47157022500,47157022500,"Census Tract 225, Shelby County, Tennessee",5293,774,41308,57776
1400000US47157022600,47157022600,"Census Tract 226, Shelby County, Tennessee",4296,560,36589,50650
1400000US47157022700,47157022700,"Census Tract 227, Shelby County, Tennessee",6759,741,26465,33178
1400000US47157980100,47157980100,"Census Tract 9801, Shelby County, Tennessee",65,27,0,0
1400000US47157980200,47157980200,"Census Tract 9802, Shelby County, Tennessee",0,12,0,0
1400000US47157980300,47157980300,"Census Tract 9803, Shelby County, Tennessee",0,12,0,0
1400000US47157980400,47157980400,"Census Tract 9804, Shelby County, Tennessee",494,137,0,0
