ID,Length (ft),Length (km),Arc Type,Start Node,End Node,u_t0,f_t0,c_t0,u_t1,f_t1,c_t1,u_t2,f_t2,c_t2,u_t3,f_t3,c_t3,u_t4,f_t4,c_t4,u_t5,f_t5,c_t5,u_t6,f_t6,c_t6,u_t7,f_t7,c_t7,u_t8,f_t8,c_t8,u_t9,f_t9,c_t9,u_t10,f_t10,c_t10
79,1422.975216,0.434,Transmission Line,24,67,1,1423,1423,1,1423,1423,1,1423,1423,1,1423,1423,1,1423,1423,1,1423,1423,1,1423,1423,1,1423,1423,1,1423,1423,1,1423,1423,1,1423,1423
80,13643.48254,4.159,Transmission Line,55,39,32,13643,13643,32,13643,13643,32,13643,13643,32,13643,13643,32,13643,13643,32,13643,13643,32,13643,13643,32,13643,13643,32,13643,13643,32,13643,13643,32,13643,13643
81,1927.699266,0.588,Transmission Line,6,66,23.8,1928,1928,23.8,1928,1928,23.8,1928,1928,23.8,1928,1928,23.8,1928,1928,23.8,1928,1928,23.8,1928,1928,23.8,1928,1928,23.8,1928,1928,23.8,1928,1928,23.8,1928,1928
82,3627.135826,1.106,Transmission Line,6,44,30.6,3627,3627,30.6,3627,3627,30.6,3627,3627,30.6,3627,3627,30.6,3627,3627,30.6,3627,3627,30.6,3627,3627,30.6,3627,3627,30.6,3627,3627,30.6,3627,3627,30.6,3627,3627
83,5635.172568,1.718,Transmission Line,23,45,11.5,5635,5635,11.5,5635,5635,11.5,5635,5635,11.5,5635,5635,11.5,5635,5635,11.5,5635,5635,11.5,5635,5635,11.5,5635,5635,11.5,5635,5635,11.5,5635,5635,11.5,5635,5635
84,2478.576558,0.755,Transmission Line,62,63,1,2479,2479,1,2479,2479,1,2479,2479,1,2479,2479,1,2479,2479,1,2479,2479,1,2479,2479,1,2479,2479,1,2479,2479,1,2479,2479,1,2479,2479
85,3729.763509,1.137,Transmission Line,4,62,48.8,3730,3730,48.8,3730,3730,48.8,3730,3730,48.8,3730,3730,48.8,3730,3730,48.8,3730,3730,48.8,3730,3730,48.8,3730,3730,48.8,3730,3730,48.8,3730,3730,48.8,3730,3730
86,20585.66599,6.275,Transmission Line,11,74,1,20586,20586,1,20586,20586,1,20586,20586,1,20586,20586,1,20586,20586,1,20586,20586,1,20586,20586,1,20586,20586,1,20586,20586,1,20586,20586,1,20586,20586
87,2283.206594,0.696,Transmission Line,1,61,186.4,2283,2283,186.4,2283,2283,186.4,2283,2283,186.4,2283,2283,186.4,2283,2283,186.4,2283,2283,186.4,2283,2283,186.4,2283,2283,186.4,2283,2283,186.4,2283,2283,186.4,2283,2283
88,6013.836266,1.833,Transmission Line,14,58,55.2,6014,6014,55.2,6014,6014,55.2,6014,6014,55.2,6014,6014,55.2,6014,6014,55.2,6014,6014,55.2,6014,6014,55.2,6014,6014,55.2,6014,6014,55.2,6014,6014,55.2,6014,6014
89,13590.39237,4.142,Transmission Line,49,23,41.7,13590,13590,41.7,13590,13590,41.7,13590,13590,41.7,13590,13590,41.7,13590,13590,41.7,13590,13590,41.7,13590,13590,41.7,13590,13590,41.7,13590,13590,41.7,13590,13590,41.7,13590,13590
90,6404.814622,1.952,Transmission Line,41,6,9.8,6405,6405,9.8,6405,6405,9.8,6405,6405,9.8,6405,6405,9.8,6405,6405,9.8,6405,6405,9.8,6405,6405,9.8,6405,6405,9.8,6405,6405,9.8,6405,6405,9.8,6405,6405
91,4206.344961,1.282,Transmission Line,42,6,1,4206,4206,1,4206,4206,1,4206,4206,1,4206,4206,1,4206,4206,1,4206,4206,1,4206,4206,1,4206,4206,1,4206,4206,1,4206,4206,1,4206,4206
92,3945.558407,1.203,Transmission Line,43,6,4.5,3946,3946,4.5,3946,3946,4.5,3946,3946,4.5,3946,3946,4.5,3946,3946,4.5,3946,3946,4.5,3946,3946,4.5,3946,3946,4.5,3946,3946,4.5,3946,3946,4.5,3946,3946
